subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
KN_F1,0.5732142857142857,0.45703933747412007,0.5429824561403509,0.335409898389438,0.6461302211302211,0.5443977591036415,0.5656028368794326,0.6130115167851017,0.6372463768115942,0.4881335881335882,0.729850540986613,0.5461256672631885,0.5218230045816252,0.5740012782497956,0.4287518037518038,0.5469147047596533
LDA_F1,0.5443252983575564,0.6619875222816399,0.555759457933371,0.3153214774281806,0.5315519323671498,0.5347699629825489,0.6139610389610389,0.5952380952380951,0.6118686868686869,0.5917280917280918,0.6731831395348837,0.541358024691358,0.5422014260249555,0.7815829528158296,0.5357142857142857,0.5753700928618449
SVM_F1,0.5727605727605728,0.4738772744870306,0.556656346749226,0.29354354354354356,0.5519607843137254,0.5351604278074866,0.6103382433169667,0.6155906264945002,0.6192043713915399,0.46227275464815154,0.6553052325581395,0.5573656363130048,0.49396582100070474,0.6364828684105792,0.44166666666666665,0.5384100780307892
GB_F1,0.5614560639070443,0.4601560583010257,0.5005736714975846,0.28401826484018267,0.5633838383838384,0.5581302966101694,0.5953907203907205,0.6198977729098212,0.3671864675564953,0.46411728428651755,0.6724613039399625,0.43683552220137584,0.5222222222222223,0.6391277641277642,0.37592378381852065,0.5080587356662163
DT_ACC,0.5789473684210527,0.5,0.6024096385542169,0.42105263157894735,0.6071428571428571,0.5394736842105263,0.6097560975609756,0.7209302325581395,0.4186046511627907,0.6410256410256411,0.5975609756097561,0.4827586206896552,0.6235294117647059,0.6463414634146342,0.45121951219512196,0.5627168523926013
RF_ACC,0.6842105263157895,0.7692307692307693,0.6987951807228916,0.40789473684210525,0.6309523809523809,0.6052631578947368,0.6463414634146342,0.7906976744186046,0.47674418604651164,0.5256410256410257,0.8048780487804879,0.632183908045977,0.6352941176470588,0.7560975609756098,0.6707317073170732,0.6489970962830436
AB_ACC,0.4473684210526316,0.6794871794871795,0.6626506024096386,0.5263157894736842,0.6547619047619048,0.631578947368421,0.6585365853658537,0.8255813953488372,0.7674418604651163,0.358974358974359,0.7560975609756098,0.5977011494252874,0.5058823529411764,0.573170731707317,0.524390243902439,0.6113292722439636
KN_ACC,0.7105263157894737,0.5897435897435898,0.5903614457831325,0.4605263157894737,0.75,0.6052631578947368,0.6707317073170732,0.7790697674418605,0.7906976744186046,0.6025641025641025,0.7682926829268293,0.6091954022988506,0.6588235294117647,0.5975609756097561,0.5365853658536586,0.6479961355228604
LDA_ACC,0.6710526315789473,0.7692307692307693,0.6867469879518072,0.5526315789473685,0.6666666666666666,0.5921052631578947,0.7439024390243902,0.7558139534883721,0.7441860465116279,0.7051282051282052,0.8292682926829268,0.6436781609195402,0.6823529411764706,0.9146341463414634,0.6829268292682927,0.7093549941383162
SVM_ACC,0.7105263157894737,0.6025641025641025,0.7108433734939759,0.4605263157894737,0.6904761904761905,0.5921052631578947,0.7317073170731707,0.7906976744186046,0.7558139534883721,0.5769230769230769,0.8048780487804879,0.6551724137931034,0.6352941176470588,0.7926829268292683,0.6097560975609756,0.6746644791856818
GB_ACC,0.6842105263157895,0.5897435897435898,0.5421686746987951,0.39473684210526316,0.7023809523809523,0.631578947368421,0.7073170731707317,0.7209302325581395,0.47674418604651164,0.5769230769230769,0.7682926829268293,0.5862068965517241,0.611764705882353,0.7926829268292683,0.4024390243902439,0.6125413558594459
